trip_id,stop_id,arrival_time,departure_time,timepoint,stop_sequence,stop_headsign,route_short_name,pickup_type,drop_off_type,shape_dist_traveled
50,created_stop_2,10:12:26,10:12:26,,1,,,,,
50,created_stop_3,10:15:08,10:15:08,,2,,,,,
50,created_stop_4,10:16:48,10:16:48,,3,,,,,
50,created_stop_5,10:18:35,10:18:35,,4,,,,,
51,created_stop_1,10:15:00,10:15:00,,0,,,,,
51,created_stop_2,10:17:26,10:17:26,,1,,,,,
51,created_stop_3,10:20:08,10:20:08,,2,,,,,
51,created_stop_4,10:21:48,10:21:48,,3,,,,,
51,created_stop_5,10:23:35,10:23:35,,4,,,,,
52,created_stop_1,10:20:00,10:20:00,,0,,,,,
52,created_stop_2,10:22:26,10:22:26,,1,,,,,
52,created_stop_3,10:25:08,10:25:08,,2,,,,,
52,created_stop_4,10:26:48,10:26:48,,3,,,,,
52,created_stop_5,10:28:35,10:28:35,,4,,,,,
53,created_stop_1,10:25:00,10:25:00,,0,,,,,
53,created_stop_2,10:27:26,10:27:26,,1,,,,,
53,created_stop_3,10:30:08,10:30:08,,2,,,,,
53,created_stop_4,10:31:48,10:31:48,,3,,,,,
53,created_stop_5,10:33:35,10:33:35,,4,,,,,
54,created_stop_1,10:30:00,10:30:00,,0,,,,,
54,created_stop_2,10:32:26,10:32:26,,1,,,,,
54,created_stop_3,10:35:08,10:35:08,,2,,,,,
54,created_stop_4,10:36:48,10:36:48,,3,,,,,
54,created_stop_5,10:38:35,10:38:35,,4,,,,,
55,created_stop_1,10:35:00,10:35:00,,0,,,,,
55,created_stop_2,10:37:26,10:37:26,,1,,,,,
55,created_stop_3,10:40:08,10:40:08,,2,,,,,
55,created_stop_4,10:41:48,10:41:48,,3,,,,,
55,created_stop_5,10:43:35,10:43:35,,4,,,,,
56,created_stop_1,10:40:00,10:40:00,,0,,,,,
56,created_stop_2,10:42:26,10:42:26,,1,,,,,
56,created_stop_3,10:45:08,10:45:08,,2,,,,,
56,created_stop_4,10:46:48,10:46:48,,3,,,,,
56,created_stop_5,10:48:35,10:48:35,,4,,,,,
57,created_stop_1,10:45:00,10:45:00,,0,,,,,
57,created_stop_2,10:47:26,10:47:26,,1,,,,,
57,created_stop_3,10:50:08,10:50:08,,2,,,,,
57,created_stop_4,10:51:48,10:51:48,,3,,,,,
57,created_stop_5,10:53:35,10:53:35,,4,,,,,
58,created_stop_1,10:50:00,10:50:00,,0,,,,,
58,created_stop_2,10:52:26,10:52:26,,1,,,,,
58,created_stop_3,10:55:08,10:55:08,,2,,,,,
58,created_stop_4,10:56:48,10:56:48,,3,,,,,
58,created_stop_5,10:58:35,10:58:35,,4,,,,,
59,created_stop_1,10:55:00,10:55:00,,0,,,,,
59,created_stop_2,10:57:26,10:57:26,,1,,,,,
59,created_stop_3,11:00:08,11:00:08,,2,,,,,
59,created_stop_4,11:01:48,11:01:48,,3,,,,,
59,created_stop_5,11:03:35,11:03:35,,4,,,,,
60,created_stop_1,11:00:00,11:00:00,,0,,,,,
60,created_stop_2,11:02:26,11:02:26,,1,,,,,
60,created_stop_3,11:05:08,11:05:08,,2,,,,,
60,created_stop_4,11:06:48,11:06:48,,3,,,,,
60,created_stop_5,11:08:35,11:08:35,,4,,,,,
61,created_stop_1,11:05:00,11:05:00,,0,,,,,
61,created_stop_2,11:07:26,11:07:26,,1,,,,,
61,created_stop_3,11:10:08,11:10:08,,2,,,,,
61,created_stop_4,11:11:48,11:11:48,,3,,,,,
61,created_stop_5,11:13:35,11:13:35,,4,,,,,
62,created_stop_1,11:10:00,11:10:00,,0,,,,,
62,created_stop_2,11:12:26,11:12:26,,1,,,,,
62,created_stop_3,11:15:08,11:15:08,,2,,,,,
62,created_stop_4,11:16:48,11:16:48,,3,,,,,
62,created_stop_5,11:18:35,11:18:35,,4,,,,,
63,created_stop_1,11:15:00,11:15:00,,0,,,,,
63,created_stop_2,11:17:26,11:17:26,,1,,,,,
63,created_stop_3,11:20:08,11:20:08,,2,,,,,
63,created_stop_4,11:21:48,11:21:48,,3,,,,,
63,created_stop_5,11:23:35,11:23:35,,4,,,,,
64,created_stop_1,11:20:00,11:20:00,,0,,,,,
64,created_stop_2,11:22:26,11:22:26,,1,,,,,
64,created_stop_3,11:25:08,11:25:08,,2,,,,,
64,created_stop_4,11:26:48,11:26:48,,3,,,,,
64,created_stop_5,11:28:35,11:28:35,,4,,,,,
65,created_stop_1,11:25:00,11:25:00,,0,,,,,
65,created_stop_2,11:27:26,11:27:26,,1,,,,,
65,created_stop_3,11:30:08,11:30:08,,2,,,,,
65,created_stop_4,11:31:48,11:31:48,,3,,,,,
65,created_stop_5,11:33:35,11:33:35,,4,,,,,
66,created_stop_1,11:30:00,11:30:00,,0,,,,,
66,created_stop_2,11:32:26,11:32:26,,1,,,,,
66,created_stop_3,11:35:08,11:35:08,,2,,,,,
66,created_stop_4,11:36:48,11:36:48,,3,,,,,
66,created_stop_5,11:38:35,11:38:35,,4,,,,,
67,created_stop_1,11:35:00,11:35:00,,0,,,,,
67,created_stop_2,11:37:26,11:37:26,,1,,,,,
67,created_stop_3,11:40:08,11:40:08,,2,,,,,
67,created_stop_4,11:41:48,11:41:48,,3,,,,,
67,created_stop_5,11:43:35,11:43:35,,4,,,,,
68,created_stop_1,11:40:00,11:40:00,,0,,,,,
68,created_stop_2,11:42:26,11:42:26,,1,,,,,
68,created_stop_3,11:45:08,11:45:08,,2,,,,,
68,created_stop_4,11:46:48,11:46:48,,3,,,,,
68,created_stop_5,11:48:35,11:48:35,,4,,,,,
69,created_stop_1,11:45:00,11:45:00,,0,,,,,
69,created_stop_2,11:47:26,11:47:26,,1,,,,,
69,created_stop_3,11:50:08,11:50:08,,2,,,,,
69,created_stop_4,11:51:48,11:51:48,,3,,,,,
69,created_stop_5,11:53:35,11:53:35,,4,,,,,
70,created_stop_1,11:50:00,11:50:00,,0,,,,,
70,created_stop_2,11:52:26,11:52:26,,1,,,,,
70,created_stop_3,11:55:08,11:55:08,,2,,,,,
70,created_stop_4,11:56:48,11:56:48,,3,,,,,
70,created_stop_5,11:58:35,11:58:35,,4,,,,,
71,created_stop_1,11:55:00,11:55:00,,0,,,,,
71,created_stop_2,11:57:26,11:57:26,,1,,,,,
71,created_stop_3,12:00:08,12:00:08,,2,,,,,
71,created_stop_4,12:01:48,12:01:48,,3,,,,,
71,created_stop_5,12:03:35,12:03:35,,4,,,,,
72,created_stop_1,12:00:00,12:00:00,,0,,,,,
72,created_stop_2,12:02:26,12:02:26,,1,,,,,
72,created_stop_3,12:05:08,12:05:08,,2,,,,,
72,created_stop_4,12:06:48,12:06:48,,3,,,,,
72,created_stop_5,12:08:35,12:08:35,,4,,,,,
73,created_stop_1,12:05:00,12:05:00,,0,,,,,
73,created_stop_2,12:07:26,12:07:26,,1,,,,,
73,created_stop_3,12:10:08,12:10:08,,2,,,,,
73,created_stop_4,12:11:48,12:11:48,,3,,,,,
73,created_stop_5,12:13:35,12:13:35,,4,,,,,
74,created_stop_1,12:10:00,12:10:00,,0,,,,,
74,created_stop_2,12:12:26,12:12:26,,1,,,,,
74,created_stop_3,12:15:08,12:15:08,,2,,,,,
74,created_stop_4,12:16:48,12:16:48,,3,,,,,
74,created_stop_5,12:18:35,12:18:35,,4,,,,,
75,created_stop_1,12:15:00,12:15:00,,0,,,,,
75,created_stop_2,12:17:26,12:17:26,,1,,,,,
75,created_stop_3,12:20:08,12:20:08,,2,,,,,
75,created_stop_4,12:21:48,12:21:48,,3,,,,,
75,created_stop_5,12:23:35,12:23:35,,4,,,,,
76,created_stop_1,12:20:00,12:20:00,,0,,,,,
76,created_stop_2,12:22:26,12:22:26,,1,,,,,
76,created_stop_3,12:25:08,12:25:08,,2,,,,,
76,created_stop_4,12:26:48,12:26:48,,3,,,,,
76,created_stop_5,12:28:35,12:28:35,,4,,,,,
77,created_stop_1,12:25:00,12:25:00,,0,,,,,
77,created_stop_2,12:27:26,12:27:26,,1,,,,,
77,created_stop_3,12:30:08,12:30:08,,2,,,,,
77,created_stop_4,12:31:48,12:31:48,,3,,,,,
